CPU usage during test runs:

--- CPU stats for 44 threads ---
Linux 6.8.0-57-generic (artem-XENIA-15) 	13.04.2025 	_x86_64_	(16 CPU)

17:11:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:11:33     all   27,61    0,00    2,53    0,00    0,00    0,06    0,00    0,00    0,00   69,80
17:11:34     all   40,35    0,00    4,36    0,13    0,00    0,06    0,00    0,00    0,00   55,09
17:11:35     all   11,92    0,00    1,64    0,00    0,00    0,06    0,00    0,00    0,00   86,38
17:11:36     all    1,19    0,00    0,56    0,00    0,00    0,00    0,00    0,00    0,00   98,24
17:11:37     all    1,13    0,00    0,31    0,00    0,00    0,00    0,00    0,00    0,00   98,56
17:11:38     all    2,40    0,00    0,63    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:11:39     all    1,96    0,00    1,20    0,00    0,00    0,00    0,00    0,00    0,00   96,85
17:11:40     all    2,33    0,00    0,57    0,00    0,00    0,06    0,00    0,00    0,00   97,04
17:11:41     all    2,33    0,00    1,07    0,06    0,00    0,00    0,00    0,00    0,00   96,53
17:11:42     all    1,77    0,00    0,50    0,00    0,00    0,06    0,00    0,00    0,00   97,67
17:11:43     all    2,34    0,00    0,57    0,00    0,00    0,06    0,00    0,00    0,00   97,03
17:11:44     all    1,26    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,74
17:11:45     all   15,12    0,00    1,71    0,00    0,00    0,13    0,00    0,00    0,00   83,05
17:11:46     all   32,42    0,00    2,73    0,00    0,00    0,13    0,00    0,00    0,00   64,72
17:11:47     all   18,81    0,00    0,88    0,00    0,00    0,13    0,00    0,00    0,00   80,18
17:11:48     all    3,28    0,00    0,76    0,00    0,00    0,06    0,00    0,00    0,00   95,90
17:11:49     all    5,07    0,00    2,47    0,00    0,00    0,00    0,00    0,00    0,00   92,45
17:11:50     all    3,47    0,00    1,01    0,00    0,00    0,13    0,00    0,00    0,00   95,39
17:11:51     all    5,58    0,00    1,71    0,00    0,00    0,00    0,00    0,00    0,00   92,71
17:11:52     all    4,35    0,00    1,39    0,00    0,00    0,13    0,00    0,00    0,00   94,14
17:11:53     all   11,82    0,00    2,07    0,19    0,00    0,13    0,00    0,00    0,00   85,80
17:11:54     all   12,79    0,00    2,56    0,00    0,00    0,13    0,00    0,00    0,00   84,53
17:11:55     all   31,16    0,00    4,93    0,06    0,00    0,13    0,00    0,00    0,00   63,72
17:11:56     all   83,55    0,06    7,44    0,00    0,00    1,38    0,00    0,00    0,00    7,57
17:11:57     all   86,28    0,00    8,86    0,00    0,00    3,49    0,00    0,00    0,00    1,37
17:11:58     all   83,52    0,00   11,72    0,00    0,00    3,76    0,00    0,00    0,00    1,00
17:11:59     all   82,27    0,00   12,72    0,00    0,00    4,14    0,00    0,00    0,00    0,88
17:12:00     all   77,83    0,00   15,55    0,00    0,00    5,31    0,00    0,00    0,00    1,31
17:12:01     all   66,14    0,00   21,43    0,00    0,00    7,36    0,00    0,00    0,00    5,07
17:12:02     all   63,69    0,00   21,76    0,00    0,00    8,48    0,00    0,00    0,00    6,07
17:12:03     all   63,93    0,00   21,44    0,00    0,00    8,78    0,00    0,00    0,00    5,85
17:12:04     all   63,91    0,00   21,98    0,00    0,00    8,58    0,00    0,00    0,00    5,53
17:12:05     all   63,89    0,00   23,06    0,00    0,00    7,39    0,00    0,00    0,00    5,67
17:12:06     all   66,60    0,00   20,72    0,00    0,00    7,79    0,00    0,00    0,00    4,88
17:12:07     all   66,39    0,13   22,26    0,00    0,00    6,28    0,00    0,00    0,00    4,95
17:12:08     all   66,88    0,00   20,60    0,00    0,00    7,18    0,00    0,00    0,00    5,34
17:12:09     all   65,68    0,00   20,35    0,00    0,00    8,15    0,00    0,00    0,00    5,82
17:12:10     all   64,29    0,00   22,38    0,06    0,00    7,14    0,00    0,00    0,00    6,13
17:12:11     all   65,08    0,06   22,94    0,06    0,00    6,65    0,00    0,00    0,00    5,20
17:12:12     all   65,36    0,00   23,32    0,00    0,00    6,83    0,00    0,00    0,00    4,49
17:12:13     all   69,39    0,00   19,39    0,00    0,00    6,40    0,00    0,00    0,00    4,82
17:12:14     all   67,26    0,00   19,57    0,00    0,00    7,28    0,00    0,00    0,00    5,89
17:12:15     all   69,99    0,00   18,89    0,00    0,00    6,82    0,00    0,00    0,00    4,30

--- CPU stats for 48 threads ---
Linux 6.8.0-57-generic (artem-XENIA-15) 	13.04.2025 	_x86_64_	(16 CPU)

17:12:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:12:16     all   32,93    0,06    4,65    0,13    0,00    0,06    0,00    0,00    0,00   62,17
17:12:17     all   39,17    0,00    4,30    0,13    0,00    0,06    0,00    0,00    0,00   56,35
17:12:18     all   17,19    0,00    1,45    0,13    0,00    0,06    0,00    0,00    0,00   81,16
17:12:19     all    1,51    0,06    0,63    0,19    0,00    0,19    0,00    0,00    0,00   97,43
17:12:20     all    2,45    0,00    1,63    0,31    0,00    0,31    0,00    0,00    0,00   95,29
17:12:21     all    2,71    0,00    1,13    0,06    0,00    0,38    0,00    0,00    0,00   95,72
17:12:22     all    1,13    0,00    0,82    0,00    0,00    0,31    0,00    0,00    0,00   97,74
17:12:23     all    0,69    0,00    0,38    0,00    0,00    0,31    0,00    0,00    0,00   98,62
17:12:24     all    0,50    0,00    0,25    0,00    0,00    0,25    0,00    0,00    0,00   98,99
17:12:25     all    0,63    0,00    0,50    0,00    0,00    0,31    0,00    0,00    0,00   98,56
17:12:26     all    1,51    0,00    0,57    0,00    0,00    0,44    0,00    0,00    0,00   97,48
17:12:27     all    2,76    0,06    1,88    0,13    0,00    0,19    0,00    0,00    0,00   94,98
17:12:28     all   12,37    0,00    1,07    0,06    0,00    0,32    0,00    0,00    0,00   86,17
17:12:29     all   26,47    0,00    1,64    0,00    0,00    0,63    0,00    0,00    0,00   71,27
17:12:30     all   12,12    0,00    1,01    0,00    0,00    0,38    0,00    0,00    0,00   86,49
17:12:31     all    0,69    0,00    0,38    0,00    0,00    0,19    0,00    0,00    0,00   98,75
17:12:32     all    7,58    0,00    3,72    0,06    0,00    0,19    0,00    0,00    0,00   88,45
